01,北海道,5352306
02,青森県,1293619
03,岩手県,1268083
04,宮城県,2329431
05,秋田県,1009705
06,山形県,1113029
07,福島県,1900106
08,茨城県,2907262
09,栃木県,1968425
10,群馬県,1966381
11,埼玉県,7288081
12,千葉県,6240408
13,東京都,13636222
14,神奈川県,9145572
15,新潟県,2285856
16,富山県,1061393
17,石川県,1150818
18,福井県,782232
19,山梨県,829884
20,長野県,2087997
21,岐阜県,2022785
22,静岡県,3686945
23,愛知県,7507691
24,三重県,1807611
25,滋賀県,1413079
26,京都府,2605731
27,大阪府,8837812
28,兵庫県,5520575
29,奈良県,1356950
30,和歌山県,953924
31,鳥取県,569579
32,島根県,689817
33,岡山県,1915401
34,広島県,2838494
35,山口県,1393904
36,徳島県,750210
37,香川県,972156
38,愛媛県,1374881
39,高知県,720907
40,福岡県,5106707
41,佐賀県,828388
42,長崎県,1366514
43,熊本県,1774538
44,大分県,1159634
45,宮崎県,1095959
46,鹿児島県,1637073
47,沖縄県,1439913
